Date,Name,Year,Letterboxd URI
2021-05-04,Ready Player One,2018,https://boxd.it/aZes
2021-05-06,Love and Monsters,2020,https://boxd.it/lJ6E
2021-05-09,Wolfwalkers,2020,https://boxd.it/fGrC
2021-05-17,The Woman in the Window,2021,https://boxd.it/iT56
2021-05-23,Army of the Dead,2021,https://boxd.it/ic7S
2021-05-23,Ex Machina,2015,https://boxd.it/7T2k
2021-05-24,Manchester by the Sea,2016,https://boxd.it/b2L0
2021-05-25,Reservoir Dogs,1992,https://boxd.it/2agc
2021-05-26,Coherence,2013,https://boxd.it/6xza
2021-05-28,The Cabin in the Woods,2011,https://boxd.it/1zOc
2021-05-29,School of Rock,2003,https://boxd.it/28xK
2021-05-29,Drive,2011,https://boxd.it/IG
2021-05-30,Friends: The Reunion,2021,https://boxd.it/pOQq
2021-06-05,Bad Times at the El Royale,2018,https://boxd.it/fSA2
2021-06-06,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-06-18,The Mole Agent,2020,https://boxd.it/oiRO
2021-06-20,In the Heights,2021,https://boxd.it/gLhu
2021-06-21,Shiva Baby,2020,https://boxd.it/oIv0
2021-06-24,Freaky,2020,https://boxd.it/ka42
2021-06-26,The Handmaiden,2016,https://boxd.it/948A
2021-07-05,First Reformed,2017,https://boxd.it/go9C
2021-07-06,The Usual Suspects,1995,https://boxd.it/29XE
2021-07-08,The Tomorrow War,2021,https://boxd.it/lE78
2021-07-09,Three Identical Strangers,2018,https://boxd.it/hDNO
2021-07-12,Luca,2021,https://boxd.it/ipjC
2021-07-17,The Game,1997,https://boxd.it/26vC
2021-07-19,Edge of Tomorrow,2014,https://boxd.it/4pD0
2021-07-21,The Guest,2014,https://boxd.it/76RS
2021-07-22,Nightcrawler,2014,https://boxd.it/780m
2021-07-26,Cruella,2021,https://boxd.it/bbKg
2021-07-26,Thoroughbreds,2017,https://boxd.it/dVHQ
2021-07-27,Happy Death Day,2017,https://boxd.it/fDz4
2021-07-31,The King of Staten Island,2020,https://boxd.it/litG
2021-08-13,Another Round,2020,https://boxd.it/lkba
2021-08-15,Happy Death Day 2U,2019,https://boxd.it/ixt6
2021-08-21,Jungle Cruise,2021,https://boxd.it/g4YK
2021-10-11,Midnight Mass,2021,https://boxd.it/wvVA
2021-10-26,Dune,2021,https://boxd.it/fA7G
2021-11-14,Gunpowder Milkshake,2021,https://boxd.it/l5fQ
2021-11-28,Raya and the Last Dragon,2021,https://boxd.it/jbkI
2021-12-04,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
2021-12-09,Black Widow,2021,https://boxd.it/hWV8
2021-12-13,Thor: Ragnarok,2017,https://boxd.it/8MHi
2021-12-20,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-24,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-01-02,Don't Look Up,2021,https://boxd.it/o0Hc
2022-01-03,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2022-01-05,Love Actually,2003,https://boxd.it/2aeU
2022-01-09,Encanto,2021,https://boxd.it/kPRu
