"date","name","year","letterboxd_uri","rating","rewatch","tags","watched_date","dia_semana"
2022-03-14,"The Intruder",2020,"https://boxd.it/2F6FkX",3.5,NA,NA,2022-03-13,"Sunday"
2022-03-15,"(500) Days of Summer",2009,"https://boxd.it/2FiFNz",4,NA,NA,2022-03-14,"Monday"
2022-03-17,"The Power of the Dog",2021,"https://boxd.it/2FDxsv",3,NA,NA,2022-03-16,"Wednesday"
2022-03-18,"Nightmare Alley",2021,"https://boxd.it/2FNNkH",4.5,NA,NA,2022-03-17,"Thursday"
2022-03-19,"Official Competition",2021,"https://boxd.it/2FYRhf",3,NA,NA,2022-03-18,"Friday"
2022-03-20,"West Side Story",2021,"https://boxd.it/2GbbQX",3.5,NA,NA,2022-03-19,"Saturday"
2022-03-25,"Fresh",2022,"https://boxd.it/2H5SXJ",3,NA,NA,2022-03-24,"Thursday"
2022-04-09,"Thirst",2009,"https://boxd.it/2JKVSd",3.5,NA,NA,2022-04-08,"Friday"
2022-05-21,"The Northman",2022,"https://boxd.it/2RevfH",3.5,NA,NA,2022-05-15,"Sunday"
2022-05-22,"The Unbearable Weight of Massive Talent",2022,"https://boxd.it/2RmHen",NA,NA,NA,2022-05-20,"Friday"
2022-05-28,"Sicario",2015,"https://boxd.it/2Sz7ln",NA,NA,NA,2022-05-27,"Friday"
2022-07-21,"Me and Earl and the Dying Girl",2015,"https://boxd.it/32FZGB",4,NA,NA,2022-07-20,"Wednesday"
2022-07-24,"Doctor Strange in the Multiverse of Madness",2022,"https://boxd.it/33itPT",2.5,NA,NA,2022-07-23,"Saturday"
2022-07-25,"Elvis",2022,"https://boxd.it/33wBJn",3.5,NA,NA,2022-07-24,"Sunday"
2022-07-31,"Moulin Rouge!",2001,"https://boxd.it/352OhJ",3.5,NA,NA,2022-07-30,"Saturday"
2022-07-31,"Everything Everywhere All at Once",2022,"https://boxd.it/355glD",4.5,NA,NA,2022-07-31,"Sunday"
2022-08-01,"Cha Cha Real Smooth",2022,"https://boxd.it/35jVQb",3.5,NA,NA,2022-07-31,"Sunday"
